fecha_hora_EST,fecha_hora_UTC,temperatura_agua_C,pH,conductividad_especifica_mS_cm,presion_atmosferica_hPa,hora_del_dia,radiacion_PAR_mmol_m2_15min,turbidez_FNU_NTU,oxigeno_disuelto_mg_L
2022-08-01T00:00,2022-08-01T05:00+00:00,32.7,7.2,6.66,1022,0,0,9,5.2
2022-08-01T00:15,2022-08-01T05:15+00:00,32.7,7.2,6.66,1022,0.25,0,7,4.6
2022-08-01T00:30,2022-08-01T05:30+00:00,32.7,7.1,6.65,1022,0.5,0,7,3.9
2022-08-01T00:45,2022-08-01T05:45+00:00,32.7,7,6.64,1022,0.75,0,8,3.3
2022-08-01T01:00,2022-08-01T06:00+00:00,32.7,7,6.63,1022,1,0,7,2.7
2022-08-01T01:15,2022-08-01T06:15+00:00,32.6,7,6.58,1021,1.25,0,8,3.5
2022-08-01T01:30,2022-08-01T06:30+00:00,32.7,7.1,6.6,1021,1.5,0,8,4.3
2022-08-01T01:45,2022-08-01T06:45+00:00,32.6,7.2,6.64,1021,1.75,0,9,5
2022-08-01T02:00,2022-08-01T07:00+00:00,32.6,7.2,6.66,1021,2,0,9,5.4
2022-08-01T02:15,2022-08-01T07:15+00:00,32.6,7.2,6.68,1021,2.25,0,7,5.2
2022-08-01T02:30,2022-08-01T07:30+00:00,32.5,7.3,6.67,1021,2.5,0,7,5.4
2022-08-01T02:45,2022-08-01T07:45+00:00,32.4,7.3,6.62,1021,2.75,0,7,5.5
2022-08-01T03:00,2022-08-01T08:00+00:00,32.2,7.4,6.87,1020,3,0,8,5.5
2022-08-01T03:15,2022-08-01T08:15+00:00,32,7.3,6.98,1020,3.25,0,6,5.3
2022-08-01T03:30,2022-08-01T08:30+00:00,31.9,7.3,7.26,1020,3.5,0,6,5.3
2022-08-01T03:45,2022-08-01T08:45+00:00,31.9,7.4,7.3,1020,3.75,0,5,5.1
2022-08-01T04:00,2022-08-01T09:00+00:00,31.8,7.3,7.21,1020,4,0,6,5.1
2022-08-01T04:15,2022-08-01T09:15+00:00,31.8,7.4,7.08,1020,4.25,0,6,5.1
2022-08-01T04:30,2022-08-01T09:30+00:00,31.8,7.5,6.87,1020,4.5,0,6,5.6
2022-08-01T04:45,2022-08-01T09:45+00:00,31.8,7.6,6.66,1020,4.75,0,6,5.8
2022-08-01T05:00,2022-08-01T10:00+00:00,31.9,7.5,6.6,1020,5,0,5,5.5
2022-08-01T05:15,2022-08-01T10:15+00:00,31.9,7.5,6.65,1021,5.25,0,5,5.2
2022-08-01T05:30,2022-08-01T10:30+00:00,31.9,7.4,6.64,1021,5.5,0,5,5.2
2022-08-01T05:45,2022-08-01T10:45+00:00,31.8,7.4,6.61,1021,5.75,0.3,6,5
2022-08-01T06:00,2022-08-01T11:00+00:00,31.9,7.3,7.39,1021,6,5.1,7,4.6
2022-08-01T06:15,2022-08-01T11:15+00:00,31.9,7.2,7.77,1021,6.25,27.9,6,3.6
2022-08-01T06:30,2022-08-01T11:30+00:00,31.9,7.1,7.85,1021,6.5,88.4,6,2.8
2022-08-01T06:45,2022-08-01T11:45+00:00,31.9,7.1,7.94,1022,6.75,161.5,8,2.6
2022-08-01T07:00,2022-08-01T12:00+00:00,31.9,7.1,8.02,1022,7,224.4,9,2.6
2022-08-01T07:15,2022-08-01T12:15+00:00,31.9,7.1,8.11,1022,7.25,316.4,10,2.4
2022-08-01T07:30,2022-08-01T12:30+00:00,31.9,7.1,8.19,1022,7.5,416.9,8,2.3
2022-08-01T07:45,2022-08-01T12:45+00:00,31.9,7,8.22,1022,7.75,503.4,9,2
2022-08-01T08:00,2022-08-01T13:00+00:00,31.9,7.1,8.31,1022,8,604.3,8,2.7
2022-08-01T08:15,2022-08-01T13:15+00:00,31.9,7.1,8.27,1022,8.25,698.3,7,2.7
2022-08-01T08:30,2022-08-01T13:30+00:00,31.8,7.2,7.81,1022,8.5,803.1,7,3.8
2022-08-01T08:45,2022-08-01T13:45+00:00,31.4,7.2,6.85,1022,8.75,924.1,6,4.7
2022-08-01T09:00,2022-08-01T14:00+00:00,31.4,7.2,6.66,1022,9,1016.2,7,4.9
2022-08-01T09:15,2022-08-01T14:15+00:00,31.3,7.3,6.6,1022,9.25,1105.3,7,4.7
2022-08-01T09:30,2022-08-01T14:30+00:00,31.3,7.3,6.55,1022,9.5,1183.1,6,5
2022-08-01T09:45,2022-08-01T14:45+00:00,31.4,7.3,6.57,1022,9.75,1312,6,4.6
2022-08-01T10:00,2022-08-01T15:00+00:00,31.4,7.2,6.58,1022,10,1309.7,6,4.3
2022-08-01T10:15,2022-08-01T15:15+00:00,31.5,7.2,6.58,1022,10.25,1354,5,3.9
2022-08-01T16:00,2022-08-01T21:00+00:00,33.4,7.6,6.3,1020,16,1305.3,7,6.2
2022-08-01T16:15,2022-08-01T21:15+00:00,33.4,7.6,6.33,1019,16.25,1226.2,8,6.2
2022-08-01T16:30,2022-08-01T21:30+00:00,33.3,7.7,6.39,1019,16.5,1148.7,11,6.4
2022-08-01T16:45,2022-08-01T21:45+00:00,33.3,7.8,6.41,1020,16.75,1076.7,8,6.6
2022-08-01T17:00,2022-08-01T22:00+00:00,33.3,7.7,6.4,1020,17,990.8,8,6.2
2022-08-01T17:15,2022-08-01T22:15+00:00,33.3,7.5,6.4,1020,17.25,831.4,7,5.3
2022-08-01T17:30,2022-08-01T22:30+00:00,33.3,7.4,6.39,1020,17.5,408.8,7,4.4
